question_id,question_type,fact_number,gold_fact,generated_answer,covered,review_notes
K01,Known,1,A rental provider or agent cannot ask whether the applicant has taken legal action or had a dispute with a previous rental provider.,"[RG_P07] Renters Guide - Page 7

The rental provider or agent cannot ask you for the following information in your application:

• whether you’ve taken legal action or had a dispute with a previous rental provider.

This is explicitly stated in the text.",1,
K02,Known,1,Rental providers or agents cannot accept an offer above the advertised rent.,"According to [RG_P21], a rental provider is allowed to invite a tenant to pay more than one month's rent in advance if the weekly rent is above $900.",0,
K03,Known,1,The property must have a fixed heater in good working order in the main living area.,"Yes, a Victorian rental property must have a fixed heater in good working order in the main living area. [MS_P01: Heating, RG_P39: Renters Guide - Page 39]

According to the standards, a fixed heater in the main living area must be in good working order. For rental agreements entered into from 29 March 2023, this must be an energy-efficient fixed heater in the main living area. [MS_P01: Heating, RG_P39: Renters Guide - Page 39]",1,
K03,Known,2,"For rental agreements starting from 29 March 2023, the heater must be energy efficient.","Yes, a Victorian rental property must have a fixed heater in good working order in the main living area. [MS_P01: Heating, RG_P39: Renters Guide - Page 39]

According to the standards, a fixed heater in the main living area must be in good working order. For rental agreements entered into from 29 March 2023, this must be an energy-efficient fixed heater in the main living area. [MS_P01: Heating, RG_P39: Renters Guide - Page 39]",1,
K04,Known,1,The completed and signed condition report must be returned within 5 business days of moving in.,"According to [RG_P17], you must give one copy of the completed, signed condition report to your rental provider or agent within 5 business days of moving in.",1,
K05,Known,1,"If rent is paid weekly, no more than 2 weeks rent can be requested in advance.","According to [RG_P21], the most you can be asked to pay in advance is:

* 2 weeks’ rent if the rent is payable weekly
* 1 month’s rent if the weekly rent is $900 or less and the rent is payable monthly
* More than one month’s rent if the weekly rent is above $900.",1,
K05,Known,2,"If rent is paid monthly and weekly rent is $900 or less, no more than one month rent can be requested in advance.","According to [RG_P21], the most you can be asked to pay in advance is:

* 2 weeks’ rent if the rent is payable weekly
* 1 month’s rent if the weekly rent is $900 or less and the rent is payable monthly
* More than one month’s rent if the weekly rent is above $900.",1,
K05,Known,3,Different rules apply when weekly rent is above $900.,"According to [RG_P21], the most you can be asked to pay in advance is:

* 2 weeks’ rent if the rent is payable weekly
* 1 month’s rent if the weekly rent is $900 or less and the rent is payable monthly
* More than one month’s rent if the weekly rent is above $900.",1,
K06,Known,1,A Notice of rent increase must be provided at least 90 days before the increase takes effect.,"According to [RG_P24], your rental provider must give you at least 90 days' notice before they are going to put the rent up.",1,
K07,Known,1,A blocked or broken toilet system is an urgent repair.,The retrieved context does not provide information on whether a broken toilet is considered an urgent repair.,0,
K07,Known,2,Urgent repairs must be dealt with immediately.,The retrieved context does not provide information on whether a broken toilet is considered an urgent repair.,0,
K08,Known,1,A rental provider who wants to refuse a pet request must apply to VCAT within 14 days.,"According to [RG_P28], if your rental provider wants to refuse consent for a pet, they must apply to VCAT within 14 days.",1,
K08,Known,2,VCAT decides whether refusing consent is reasonable.,"According to [RG_P28], if your rental provider wants to refuse consent for a pet, they must apply to VCAT within 14 days.",0,
I01,Inferred,1,A rental property must have a working fixed heater in the main living area.,"According to [RG_P13], a rental property must have a fixed heater in good working order in the main living area. Since your rental has no working fixed heater, this is considered a non-urgent repair, as it is not listed as an 'Urgent repair' (see page 24).

If the rental provider does not respond to your request for repair, you can organise and pay for the repair yourself, but only if the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair, and you will need receipts/invoices and any other proof of repairs.",1,
I01,Inferred,2,Failure to meet rental minimum standards is considered an urgent repair.,"According to [RG_P13], a rental property must have a fixed heater in good working order in the main living area. Since your rental has no working fixed heater, this is considered a non-urgent repair, as it is not listed as an 'Urgent repair' (see page 24).

If the rental provider does not respond to your request for repair, you can organise and pay for the repair yourself, but only if the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair, and you will need receipts/invoices and any other proof of repairs.",0,
I01,Inferred,3,The rental provider must arrange an urgent repair immediately.,"According to [RG_P13], a rental property must have a fixed heater in good working order in the main living area. Since your rental has no working fixed heater, this is considered a non-urgent repair, as it is not listed as an 'Urgent repair' (see page 24).

If the rental provider does not respond to your request for repair, you can organise and pay for the repair yourself, but only if the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair, and you will need receipts/invoices and any other proof of repairs.",0,
I01,Inferred,4,"If the provider does not respond, the renter can arrange the urgent repair if it costs no more than $2500.","According to [RG_P13], a rental property must have a fixed heater in good working order in the main living area. Since your rental has no working fixed heater, this is considered a non-urgent repair, as it is not listed as an 'Urgent repair' (see page 24).

If the rental provider does not respond to your request for repair, you can organise and pay for the repair yourself, but only if the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair, and you will need receipts/invoices and any other proof of repairs.",1,
I01,Inferred,5,The rental provider must reimburse the renter within 7 days.,"According to [RG_P13], a rental property must have a fixed heater in good working order in the main living area. Since your rental has no working fixed heater, this is considered a non-urgent repair, as it is not listed as an 'Urgent repair' (see page 24).

If the rental provider does not respond to your request for repair, you can organise and pay for the repair yourself, but only if the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair, and you will need receipts/invoices and any other proof of repairs.",0,
I01,Inferred,6,"If reimbursement is not provided, the renter can apply to RDRV.","According to [RG_P13], a rental property must have a fixed heater in good working order in the main living area. Since your rental has no working fixed heater, this is considered a non-urgent repair, as it is not listed as an 'Urgent repair' (see page 24).

If the rental provider does not respond to your request for repair, you can organise and pay for the repair yourself, but only if the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair, and you will need receipts/invoices and any other proof of repairs.",0,
