question_id,question_type,claim_number,claim,retrieved_chunk_ids,supported,supporting_chunk_ids,review_notes,citation_covered
K01,Known,1,A rental provider or agent cannot ask whether an applicant has taken legal action or had a dispute with a previous rental provider.,"['RG_P35', 'RG_P38', 'RG_P04', 'RG_P23', 'RG_P07']",1,['RG_P07'],Supported by the application rules.,1.0
K02,Known,1,"If weekly rent is above $900, a rental provider can invite a renter to pay more than one month's rent in advance.","['RG_P08', 'RG_P21', 'MS_P01', 'RG_P12', 'RG_P13']",1,['RG_P21'],"The claim is supported by the rent-in-advance rules, although it does not answer the original rental-bidding question.",1.0
K03,Known,1,A Victorian rental property must have a fixed heater in good working order in the main living area.,"['RG_P13', 'MS_P01', 'RG_P39', 'RG_P17', 'RG_P04']",1,"['RG_P13', 'MS_P01']",Supported by the minimum heating requirements.,1.0
K03,Known,2,"For rental agreements starting from 29 March 2023, the fixed heater in the main living area must be energy efficient.","['RG_P13', 'MS_P01', 'RG_P39', 'RG_P17', 'RG_P04']",1,"['RG_P13', 'MS_P01']",Supported by the energy-efficiency requirement for agreements starting from 29 March 2023.,1.0
K04,Known,1,The completed and signed condition report must be returned within 5 business days of moving in.,"['RG_P23', 'RG_P17', 'RG_P19', 'RG_P34', 'RG_P36']",1,['RG_P17'],Supported by the condition report requirements.,1.0
K05,Known,1,"If rent is paid weekly, up to 2 weeks rent can be requested in advance.","['RG_P21', 'RG_P22', 'RG_P17', 'RG_P23', 'RG_P08']",1,['RG_P21'],Supported by the weekly rent-in-advance rule.,1.0
K05,Known,2,"If rent is paid monthly and weekly rent is $900 or less, up to one month rent can be requested in advance.","['RG_P21', 'RG_P22', 'RG_P17', 'RG_P23', 'RG_P08']",1,['RG_P21'],Supported by the monthly rent-in-advance rule.,1.0
K05,Known,3,"If weekly rent is above $900, more than one month's rent can be requested in advance.","['RG_P21', 'RG_P22', 'RG_P17', 'RG_P23', 'RG_P08']",1,['RG_P21'],Supported by the rule for weekly rent above $900.,1.0
K06,Known,1,A rental provider must give at least 90 days notice before a rent increase.,"['RG_P23', 'RG_P22', 'RG_P17', 'RG_P24', 'RG_P18']",1,"['RG_P22', 'RG_P23']",The 90-day rent increase notice requirement is supported by the retrieved evidence.,0.0
K08,Known,1,A rental provider who wants to refuse a pet request must apply to VCAT within 14 days.,"['RG_P28', 'RG_P23', 'RG_P22', 'RG_P29', 'RG_P34']",1,['RG_P28'],Supported by the pet refusal process.,1.0
I01,Inferred,1,A rental property must have a fixed heater in good working order in the main living area.,"['RG_P25', 'RG_P26', 'MS_P01', 'RG_P23', 'RG_P13']",1,"['RG_P13', 'MS_P01']",Supported by the minimum heating requirements.,1.0
I01,Inferred,2,A non-working fixed heater is considered a non-urgent repair.,"['RG_P25', 'RG_P26', 'MS_P01', 'RG_P23', 'RG_P13']",0,[],The retrieved evidence does not support classifying a non-working fixed heater as a non-urgent repair.,
I01,Inferred,3,"If the rental provider does not respond, the renter can arrange and pay for the repair if it costs no more than $2500.","['RG_P25', 'RG_P26', 'MS_P01', 'RG_P23', 'RG_P13']",0,[],"The $2500 self-arranged repair process applies to urgent repairs, but the answer applies it after incorrectly classifying the heater issue as non-urgent.",
I01,Inferred,4,The renter can use the Notice to rental provider of rented premises form to request reimbursement.,"['RG_P25', 'RG_P26', 'MS_P01', 'RG_P23', 'RG_P13']",1,['RG_P25'],The retrieved urgent-repair process supports using the relevant notice form to request reimbursement.,0.0
I01,Inferred,5,"Receipts, invoices or other proof of repairs are needed when requesting reimbursement.","['RG_P25', 'RG_P26', 'MS_P01', 'RG_P23', 'RG_P13']",1,['RG_P25'],"The retrieved repair process supports providing receipts, invoices or other evidence of the repair.",0.0
I02,Inferred,1,A rental provider must use the Notice of rent increase form and provide at least 90 days notice before increasing the rent.,"['RG_P23', 'RG_P22', 'RG_P17', 'RG_P18', 'RG_P25']",1,"['RG_P22', 'RG_P23']",Supported by the rent increase notice requirements.,1.0
I02,Inferred,2,A renter can ask Consumer Affairs Victoria to investigate if they believe a rent increase is too high.,"['RG_P23', 'RG_P22', 'RG_P17', 'RG_P18', 'RG_P25']",1,['RG_P23'],Supported by the Consumer Affairs Victoria rent assessment process.,1.0
I02,Inferred,3,The renter must contact Consumer Affairs Victoria within 30 days of receiving the rent increase notice.,"['RG_P23', 'RG_P22', 'RG_P17', 'RG_P18', 'RG_P25']",1,['RG_P23'],Supported by the 30-day assessment deadline.,1.0
I02,Inferred,4,The renter can use the Request for rental assessment form to request a rent assessment.,"['RG_P23', 'RG_P22', 'RG_P17', 'RG_P18', 'RG_P25']",1,['RG_P23'],Supported by the rent assessment process.,1.0
I03,Inferred,1,A renter can provide evidence when disputing a rental provider's bond claim.,"['RG_P35', 'RG_P23', 'RG_P34', 'RG_P17', 'RG_P26']",1,['RG_P35'],Supported by the bond dispute process.,1.0
I03,Inferred,2,"RDRV can review the bond dispute, discuss it with both parties and try to help reach a fair outcome.","['RG_P35', 'RG_P23', 'RG_P34', 'RG_P17', 'RG_P26']",1,['RG_P35'],Supported by the RDRV bond dispute process.,1.0
I03,Inferred,3,"When moving out, the property must be reasonably clean and in the same condition as when the renter moved in, allowing for fair wear and tear.","['RG_P35', 'RG_P23', 'RG_P34', 'RG_P17', 'RG_P26']",1,['RG_P34'],Supported by the moving-out and fair wear and tear requirements.,1.0
I03,Inferred,4,Pre-existing damage can be used as a reason to dispute responsibility for the damage.,"['RG_P35', 'RG_P23', 'RG_P34', 'RG_P17', 'RG_P26']",1,"['RG_P17', 'RG_P34']",The retrieved condition-report and moving-out evidence supports using pre-existing damage when disputing responsibility.,1.0
I03,Inferred,5,Photos or other documentation can be used as evidence that damage existed before the renter moved in.,"['RG_P35', 'RG_P23', 'RG_P34', 'RG_P17', 'RG_P26']",1,['RG_P17'],Photos can be used to document the property's condition.,0.0
I03,Inferred,6,Rental agreements signed on or after 29 March 2021 can have additional professional cleaning requirements.,"['RG_P35', 'RG_P23', 'RG_P34', 'RG_P17', 'RG_P26']",1,['RG_P34'],Supported by the professional cleaning requirements.,1.0
I04,Inferred,1,"A rental provider cannot end a rental agreement without a valid reason, including at the end of a fixed-term agreement.","['RG_P23', 'RG_P33', 'RG_P26', 'RG_P25', 'RG_P32']",1,['RG_P32'],Supported by the rules for ending a rental agreement.,1.0
I04,Inferred,2,"Valid reasons can include the provider or family moving in, major renovations or demolition.","['RG_P23', 'RG_P33', 'RG_P26', 'RG_P25', 'RG_P32']",1,['RG_P32'],Supported by the listed valid reasons for issuing a Notice to vacate.,1.0
I04,Inferred,3,A rental provider cannot evict a renter for using or intending to use their rental rights.,"['RG_P23', 'RG_P33', 'RG_P26', 'RG_P25', 'RG_P32']",1,['RG_P33'],Supported by the protection against eviction for exercising rental rights.,1.0
